E3	SUB	source
O95376	O95376	16118314
O95376	Q99684	17646546
O95376	Q15653	23179078
Q8N8N0	Q7L523	25936802
Q14527	P12004	21269891
Q5T447	Q9UNK0	Uniprot
Q5T447	Q9H2D6	18194665
Q5T447	Q9UDY8	23358872
Q5T447	Q14790	24287696
Q5T447	P04049	28636940
Q5T447	P55211	28716524
Q05086	P04637	7800044
Q05086	P33993	9852095
Q05086	P54725	10373495
Q05086	Q05086	10864652
Q05086	Q14160	11027293
Q05086	O43166	12036950
Q05086	Q9HD26	16878151
Q05086	Q9Y6Q9	16951183
Q05086	Q12959	17023019
Q05086	P78352	17121805
Q05086	Q8IXH7	17131388
Q05086	P06400	17907805
Q05086	P26045	17947517
Q05086	P49815	18298802
Q05086	Q16611	18715924
Q05086	P04083	19204938
Q05086	P55036	19240029
Q05086	P46527	19591933
Q05086	P37840	19645749
Q05086	Q06830	20589759
Q05086	P54821	20589759
Q05086	O00327	22199232
Q05086	P54727	22199232
Q05086	O15145	22199232
Q05086	P51451	22199232
Q05086	Q15334	22199232
Q05086	P03372	23542176
Q05086	P49715	23598402
Q05086	Q9Y5K5	24743594
Q05086	P29590	25231954
Q9UM11	P53350	Uniprot
Q9UM11	P20248	11285280
Q9UM11	P12757	11741538
Q9UM11	O14965	12023018
Q9UM11	P30304	12234927
Q9UM11	Q14511	15144564
Q9UM11	P26358	15899874
Q9UM11	Q12834	15916961
Q9UM11	Q9NQW6	16040610
Q9UM11	P23919	16103219
Q9UM11	P04183	16103219
Q9UM11	Q96GD4	16204042
Q9UM11	Q9ULW0	16287863
Q9UM11	O95997	16355229
Q9UM11	Q02363	16810178
Q9UM11	P41134	16810178
Q9UM11	Q01196	17015473
Q9UM11	O43683	17158872
Q9UM11	Q8WWK9	17339342
Q9UM11	Q99741	17567951
Q9UM11	P13349	17601983
Q9UM11	Q9BXS6	17618083
Q9UM11	P55290	17631504
Q9UM11	Q6UVJ0	17681132
Q9UM11	Q08050	18573889
Q9UM11	P14635	18753608
Q9UM11	Q5FBB7	19015261
Q9UM11	O75496	19101468
Q9UM11	Q9HAW4	19124652
Q9UM11	Q16875	20080744
Q9UM11	P45983	20581839
Q9UM11	P45984	20581839
Q9UM11	P53779	20581839
Q9UM11	Q13309	20717963
Q9UM11	O43474	21177849
Q9UM11	O14777	21199005
Q9UM11	O00429	21325626
Q9UM11	Q15004	21700221
Q9UM11	O94782	21768287
Q9UM11	Q99708	22199232
Q9UM11	Q86WB0	22205987
Q9UM11	Q96BY2	22529100
Q9UM11	O00716	22580460
Q9UM11	Q01094	22580462
Q9UM11	Q00059	23045728
Q9UM11	Q8IWA4	23045728
Q9UM11	O60313	23045728
Q9UM11	O60566	23091007
Q9UM11	Q9Y4A5	23318449
Q9UM11	P48431	23972993
Q9UM11	Q9P2P5	24163370
Q9UM11	Q15468	24485834
Q9UM11	Q96C86	25043029
Q9UM11	P23760	26329581
Q9UM11	P51955	26387737
Q8N5Z5	Q9BT92	25270598
Q16531	O15350	23085759
Q16531	Q92905	23357576
O14512	O75553	24210661
Q9P2J3	Q6PGQ7	17543862
Q9P2J3	P14635	18075312
Q9P2J3	Q96GD4	19995937
Q9P2J3	P17676	25303533
O75928	P42224	12764129
Q9BVG3	Q9BVG3	23402750
Q9BVG3	Q9H257	26488816
Q969Q1	P19429	15601779
Q969Q1	P63316	15601779
Q969Q1	Q14324	17314137
Q969Q1	P06732	18222470
Q969Q1	P19237	19240029
Q969Q1	P55036	19240029
Q969Q1	Q14896	19506036
Q969Q1	P68133	21764995
Q969Q1	P10916	22199232
Q969Q1	P05976	22199232
Q969Q1	Q96A32	22199232
Q969Q1	Q9Y692	22199232
Q969Q1	P31937	22199232
Q969Q1	P25963	23535871
Q969Q1	P06576	23695782
Q969Q1	P10827	26862156
Q6PJ69	Q8NDV7	24778252
Q9Y6I7	Q92813	Uniprot
Q9Y6I7	Q9H2X6	18093972
Q6PCT2	P63000	24658274
Q6PCT2	P61586	24658274
Q6PCT2	Q01638	24658274
Q6PCT2	P60953	29522376
Q8NI29	P13473	28743755
Q8TBB1	P49757	14990566
Q8TBB1	P12931	17936276
Q8TBB1	Q96BR9	19668196
Q8TBB1	P01732	22045731
Q8TBB1	P22459	22889411
Q8TBB1	O60828	22889411
Q8TBB1	Q05586	22889411
Q8TBB1	P48546	22889411
Q8TBB1	P56750	22889411
Q8TBB1	O76021	22889411
Q8TBB1	P41595	22889411
Q8TBB1	Q96KB5	22889411
Q96PU5	Q9Y5Y9	Uniprot
Q96PU5	Q9UQD0	Uniprot
Q96PU5	Q9NY46	Uniprot
Q96PU5	Q15858	Uniprot
Q96PU5	Q99250	Uniprot
Q96PU5	Q14524	Uniprot
Q96PU5	P51795	Uniprot
Q96PU5	P51170	14556380
Q96PU5	Q9NV92	15252135
Q96PU5	P36897	15817471
Q96PU5	P37173	15817471
Q96PU5	P04629	16701206
Q96PU5	Q16620	16701206
Q96PU5	Q9H3D4	16908849
Q96PU5	Q96QD8	17003038
Q96PU5	P51168	17502380
Q96PU5	O00141	18094676
Q96PU5	Q99816	18321968
Q96PU5	P37088	18322022
Q96PU5	Q96PU5	18498246
Q96PU5	Q9BSA4	18577513
Q96PU5	Q07912	19144635
Q96PU5	P11686	19423771
Q96PU5	P49281	19706893
Q96PU5	P84022	19917253
Q96PU5	Q15796	19917253
Q96PU5	Q01959	20051513
Q96PU5	Q16625	20504882
Q96PU5	O14964	20675381
Q96PU5	Q9H1D0	20843805
Q96PU5	Q12809	21463633
Q96PU5	P22001	22199232
Q96PU5	Q6PJG6	22199232
Q96PU5	Q8WXF1	22199232
Q96PU5	P43003	22199232
Q96PU5	O00213	22199232
Q96PU5	Q4VCS5	22385262
Q96PU5	P53805	22426484
Q96PU5	Q96D31	22682960
Q96PU5	Q9P2K8	25589675
Q96PU5	P62745	26949039
Q96PU5	P04637	29323264
Q96PU5	Q8TCC7	29487013
Q96PU5	Q6UUV7	29505301
Q12933	Q99558	Uniprot
Q12933	Q13489	11907583
Q12933	Q13546	18641654
Q12933	Q15759	19584093
Q12933	Q13601	19810754
Q12933	Q8IUC6	20047764
Q12933	Q13105	20577214
Q12933	Q12933	20876871
Q12933	Q14164	23453969
Q12933	O95147	26521044
Q12933	Q96BY2	29470995
Q7Z419	O60294	12853982
Q7Z419	P38936	16427630
Q7Z419	P06748	20864535
Q7Z419	Q07812	22199232
O75592	P49815	14559897
O95155	P54252	15152500
O95155	Q8IWX7	15294159
O95155	Q99689	15466860
O95155	O95997	15611659
O95155	P04637	21317885
Q9UK96	P10415	24658274
Q13191	P27986	11087752
Q13191	O00459	11087752
Q13191	P19174	Uniprot
Q13191	Q13191	11375397
Q13191	P43405	12771181
Q13191	P12931	12907674
Q13191	P00533	16702950
Q13191	P20963	20637659
Q13191	Q96B97	22199232
Q13191	P35568	23187081
Q13191	P16234	29237719
Q9NWZ3	Q96FA3	17675297
Q9ULV8	P00533	22199232
Q9ULV8	P12931	22199232
Q9P0N8	P42081	Uniprot
Q9P0N8	P02786	Uniprot
Q9P0N8	Q12959	22199232
Q9P0N8	P13569	23818989
O95071	O95071	11714696
O95071	Q92547	11714696
O95071	Q9BPZ3	16601676
O95071	P50750	21127351
O95071	P35558	21726808
O95071	O75469	24438055
Q13356	O95863	29352246
Q9NWF9	Q9NWF9	Uniprot
Q9NWF9	O00206	15107846
Q9NWF9	Q13114	15107846
Q9NWF9	Q9NR96	15107846
Q9NWF9	Q13546	16968706
Q5VTB9	Q5VTB9	Uniprot
Q5VTB9	O75182	20170641
O43663	P16104	22199232
O43663	Q96KK5	22199232
O43663	Q96QV6	22199232
O43663	Q99496	22199232
O43663	Q6FI13	22199232
O43663	P04908	22199232
O43663	P0C0S5	22199232
Q9UJT9	O14965	24658274
Q9UJT9	O15392	25778398
Q8IUD6	O95786	19017631
Q8NEZ5	O75164	24658274
Q8NEZ5	O43474	26087183
Q8NEZ5	P04637	26868148
Q8NEZ5	P35613	28117675
O43164	P31323	21423175
O43164	P13861	21423175
O43164	P31321	21423175
O43164	P10644	21423175
O43164	O43164	22199232
Q66K89	P04637	17110336
Q6UWE0	Q99816	15256501
Q6VVB1	O95278	Uniprot
Q6VVB1	P35573	Uniprot
Q6VVB1	Q9UQK1	18029386
Q6VVB1	B3EWF7	22199232
Q6VVB1	O14641	22223637
A8MQ27	Q9UNE0	20176925
A8MQ27	Q9NR61	22199232
A8MQ27	Q9NYJ7	22199232
A8MQ27	O00548	22199232
Q07869	P10415	26556865
Q8IYW5	Q16777	19203578
Q8IYW5	Q8IYW5	19203578
Q8IYW5	O75164	22199232
Q8IYW5	P0C0S8	22199232
Q8IYW5	P16104	22980979
Q9UJP4	Q96GD4	Uniprot
Q9P2E8	P01730	Uniprot
Q9P2E8	P01911	22199232
Q9UKA1	Q14203	Uniprot
Q9UKA1	P48200	19762597
Q9UKA1	O95863	24157836
Q9UKA1	P00519	24658274
Q9UKA1	Q9BQ15	25249620
Q9NX47	Q9Y3D6	Uniprot
Q9NX47	Q9NX47	Uniprot
Q9NX47	Q8IWA4	Uniprot
Q9NX47	O00429	16936636
Q9NX47	P33076	18389477
Q9NX47	P00441	19741096
Q9NX47	P54252	20851218
Q9NX47	P46939	22199232
Q9NX47	P46821	22308378
Q9NX47	O00220	23300075
Q9NX47	O95140	23727017
O00635	O00635	21306652
O00635	Q9Y4K3	22323536
Q86XK2	P04637	Uniprot
Q86XK2	P41182	22113614
Q86XK2	O75626	22199232
Q86XK2	Q9NZJ0	23478441
O43255	P43146	Uniprot
O43255	P29590	Uniprot
O43255	Q16633	Uniprot
O43255	Q12933	12411493
O43255	Q96KS0	15210114
O43255	O75376	16141343
O43255	Q9H6Z9	16958618
O43255	O75925	17533377
O43255	Q9Y6H5	17982729
O43255	P37840	18070888
O43255	Q92667	18323779
O43255	P55036	19240029
O43255	Q9GZT9	19546213
O43255	O14974	19744480
O43255	O15379	20691163
O43255	P46527	21734459
O43255	Q16665	22055192
O43255	Q9BSI4	22064479
O43255	Q9P212	22199232
O43255	Q92630	22199232
O43255	P08247	22199232
O43255	Q9NS87	22199232
O43255	O43597	22199232
O43255	P04637	22199232
O43255	Q96B97	22199232
O43255	Q99933	22199232
O43255	Q92844	22199232
O43255	P37231	22294748
O43255	P10275	23518348
O43255	Q13625	23644657
O43255	Q9NRM7	25438054
O43255	P37275	25528765
O43255	O96017	26751770
Q9UK22	P02765	12140560
Q9UK22	P05556	16275327
Q9UK22	Q9UNE7	16682404
Q9UK22	P56817	20854419
Q9UK22	Q05586	22199232
Q9UK22	Q9UHB4	24658274
Q9UK22	P29033	24658274
Q9UK22	P78324	24658274
Q9Y575	P20333	15899873
Q14145	Q16236	15985429
Q14145	Q96HS1	17046835
Q14145	O14920	19818716
Q14145	P25205	22199232
Q14145	Q86YC2	26649820
Q14145	Q13501	28380357
Q99942	P49023	12861019
Q99942	Q9P055	19269966
Q99942	Q86WV6	19285439
Q99942	Q7Z434	20483786
Q99942	P13569	21148293
Q99942	P68036	22199232
Q99942	O43511	22750442
Q969U6	P49815	18381890
Q969U6	Q6UVJ0	21725316
Q969U6	Q96QB1	24658274
Q969U6	Q9Y238	24658274
Q969U6	Q12929	24658274
Q9Y4L5	Q9Y4L5	17462600
Q9Y4L5	P61073	22199232
Q9Y4L5	P36888	22199232
Q9Y4L5	P08581	22199232
Q9Y4L5	P00533	23418353
Q8TEB7	P52565	17114425
Q8TEB7	P52566	17114425
Q8TEB7	Q01151	19542455
Q8TEB7	P29965	22199232
Q8TEB7	O15511	22199232
Q8TEB7	P31146	22199232
O00308	Q01860	15047715
O00308	Q9P2A4	15998807
O00308	P49281	18776082
O00308	Q9Y5R6	18776082
O00308	P11161	19651900
O00308	P84022	21258410
O00308	O15105	21258410
O00308	O00308	22199232
O00308	P60484	22199232
O00308	P24928	22199232
O00308	Q8IUC6	23479606
O00308	O15350	25071155
O00308	Q9H074	25266661
O00308	Q9UM47	25356737
O00308	Q13950	28500134
Q86TM6	O15354	Uniprot
Q86TM6	P04035	Uniprot
Q86TM6	Q86TM6	12459480
Q86TM6	Q96M98	15572843
Q86TM6	O00141	16847254
Q86TM6	P42858	17141218
Q86TM6	Q8WZ42	17141218
Q86TM6	Q96AJ1	17451556
Q86TM6	P10909	17451556
Q86TM6	P04637	17828301
Q86TM6	Q9UKV5	18216283
Q86TM6	P10636	18301957
Q86TM6	O75460	18369366
Q86TM6	Q92542	19725872
Q86TM6	P05067	20237263
Q86TM6	P04234	21199683
Q86TM6	P01009	21199683
Q86TM6	P31645	22199232
Q86TM6	Q5T5C0	29269412
Q86TM6	P01848	29655804
O94952	Q9Y6B2	26085330
O94952	P08183	26299618
Q8TCQ1	P49327	Uniprot
Q8TCQ1	P01903	Uniprot
Q8TCQ1	Q30154	Uniprot
Q8TCQ1	P13762	Uniprot
Q8TCQ1	P02786	Uniprot
Q8TCQ1	P01911	Uniprot
Q8TCQ1	P79483	Uniprot
Q8TCQ1	P33076	19880452
Q8TCQ1	P42081	21220452
Q8TCQ1	P01730	22199232
P53804	P31749	Uniprot
P53804	P31751	Uniprot
P53804	Q9Y243	Uniprot
Q96CS3	P21359	20160012
Q9NSE2	O43521	19622774
Q9NS91	P12004	12226657
Q9NS91	Q9NS91	15509568
Q9NS91	P35250	18245774
Q9NS91	Q12888	19228710
Q9NS91	Q9BXW9	20675655
Q06587	P0C0S8	16359901
Q8NC42	P15056	22628551
Q96T88	P68431	17967883
Q96T88	P26358	21268065
Q96T88	P29590	22945642
Q96T88	P04637	26102039
Q86WC4	P08754	22199232
Q9P2P5	O15350	12890487
Q9P2P5	P20700	29753763
Q9P2P5	P12004	29753763
Q96J02	P55957	Uniprot
Q96J02	P00533	12226085
Q96J02	Q99962	14684745
Q96J02	Q14511	15051726
Q96J02	O95999	15082780
Q96J02	P17275	15358865
Q96J02	P05412	15469925
Q96J02	Q16625	15605377
Q96J02	Q16655	15703212
Q96J02	O15105	15946939
Q96J02	P17844	16055720
Q96J02	Q16630	16055720
Q96J02	Q9UBN4	17110928
Q96J02	Q9H3D4	17592138
Q96J02	Q96J02	17592138
Q96J02	Q15303	18334649
Q96J02	O15350	18701449
Q96J02	Q16621	18718448
Q96J02	P61073	19116316
Q96J02	P22681	19341794
Q96J02	P46531	19567869
Q96J02	O43353	19592251
Q96J02	P45985	19737936
Q96J02	Q7Z434	19881509
Q96J02	Q9H3M7	20068034
Q96J02	Q9Y5X1	20491914
Q96J02	Q99541	20504295
Q96J02	O60240	20504295
Q96J02	P20963	20637659
Q96J02	Q9HBA0	20650893
Q96J02	P08151	20818436
Q96J02	O95835	21383157
Q96J02	Q13571	22009753
Q96J02	Q13118	22199232
Q96J02	Q9UM47	22199232
Q96J02	P06241	22199232
Q96J02	P19174	22199232
Q96J02	Q6PJG6	22199232
Q96J02	Q9Y371	22199232
Q96J02	O15519	22199232
Q96J02	O15357	22199232
Q96J02	Q15583	22199232
Q96J02	Q13546	22199232
Q96J02	O43318	22199232
Q96J02	O14964	22199232
Q96J02	Q86Y01	22199232
Q96J02	Q15796	22199232
Q96J02	O14641	22826439
Q96J02	Q13490	23109427
Q96J02	Q9BTU6	23146885
Q96J02	Q01860	23255053
Q96J02	Q8WWW0	23538446
Q96J02	Q4VCS5	23564455
Q96J02	P46937	23564455
Q96J02	Q12778	24859451
Q96J02	Q13635	25092867
Q96J02	Q15750	25714464
Q96J02	Q8NEA6	26147758
Q96J02	P21860	27203743
Q96J02	O43294	28612841
Q96J02	O75581	28966723
Q96J02	Q9UMX1	29515120
Q8WY64	Q8WY64	Uniprot
Q8WY64	P01130	Uniprot
Q8WY64	P98155	20427281
Q8WY64	Q14114	20427281
Q13829	P61586	Uniprot
Q8TEL6	P01106	Uniprot
Q9H992	Q9H992	18410486
Q9H992	P10636	24905733
Q9H992	Q00987	29295817
Q9UF56	Q9BX63	24658274
Q9UF56	O14867	24658274
Q9UF56	Q9UMX1	27234298
P22681	P00519	8770364
P22681	P16234	10347229
P22681	P12931	10734113
P22681	P55085	Uniprot
P22681	Q96B97	Uniprot
P22681	P07333	11847211
P22681	P15498	11857085
P22681	Q8WU20	11997436
P22681	P09769	12435267
P22681	O94875	12475393
P22681	P29317	12496371
P22681	P46109	12671687
P22681	Q04912	12802274
P22681	P17948	15001553
P22681	P07948	15190072
P22681	P00533	15194809
P22681	P06241	15208330
P22681	Q96JA1	15282549
P22681	P08138	15337528
P22681	P43405	15701717
P22681	P08648	15728256
P22681	P09619	15753096
P22681	Q02556	15837792
P22681	P31785	16004964
P22681	Q14155	16407834
P22681	P19174	16467851
P22681	O43597	16780213
P22681	P10721	16780420
P22681	Q8TBZ2	17255943
P22681	P08581	17449471
P22681	P04085	17620338
P22681	P11362	17944804
P22681	P21802	17944804
P22681	P54762	18034775
P22681	O43521	18198176
P22681	P48736	18374639
P22681	P22455	18480409
P22681	P22607	18485666
P22681	P40189	18519587
P22681	P04626	19263517
P22681	Q9UGK3	19401194
P22681	P40238	19880496
P22681	O14964	20029031
P22681	P29322	20100865
P22681	P06239	20150895
P22681	P11274	20675402
P22681	P07947	21596750
P22681	P51692	22199232
P22681	P12318	22199232
P22681	O95644	22199232
P22681	P06127	22199232
P22681	P42229	22199232
P22681	P35968	22199232
P22681	P08069	22199232
P22681	Q7Z698	22199232
P22681	P13569	22467879
P22681	Q9UM73	22479414
P22681	P35222	23744067
P22681	Q02763	23754070
P22681	P27986	24113870
P22681	P43403	29498112
Q15386	Q15386	11278995
Q15386	O75155	12692129
Q9BSM1	P0C0S8	22199232
P98170	Q8N668	Uniprot
P98170	O43318	Uniprot
P98170	P42574	11447297
P98170	P98170	14960576
P98170	P55211	15749826
P98170	Q9NR28	15749826
P98170	O15392	17613533
P98170	Q9Y2U5	18761086
P98170	P04049	19011619
P98170	O14618	19948006
P98170	P57078	21931591
P98170	O95831	22103349
P98170	O43236	22185822
P98170	Q04727	22199232
P98170	Q14790	22199232
P98170	Q04725	22199232
P98170	Q04724	22199232
P98170	P60484	22199232
P98170	P55008	22199232
P98170	Q08117	22199232
P98170	P55210	22199232
P98170	Q04726	22304967
P98170	Q6GPH4	22811387
P98170	Q96HS1	23201124
P98170	O43353	23818254
P98170	Q99759	24975362
Q13077	Q99558	22199232
Q6PCD5	P04637	Uniprot
Q92466	P0C0S8	18593899
Q92466	Q96QV6	18593899
Q92466	Q92466	18936169
Q92466	Q01831	19481525
Q8WVD3	Q9NQB0	16714285
Q8WVD3	Q9UJU2	16714285
Q8WVD3	Q8WVD3	16714285
Q8WVD3	P13010	22199232
Q8WVD3	Q99708	22199232
Q53G59	P21917	20100572
Q53G59	Q9UBV8	22199232
Q53G59	P14635	22199232
Q53G59	Q92997	22199232
Q53G59	O94979	22358839
Q53G59	Q9NQW1	22358839
Q53G59	Q92945	27899653
O60683	P50542	22199232
Q6X9E4	Q8N6P7	26171402
Q7Z6Z7	Q07820	16213503
Q7Z6Z7	P01106	16269333
Q7Z6Z7	Q7Z6Z7	17580310
Q7Z6Z7	Q99741	18617514
Q7Z6Z7	P20393	20534529
Q7Z6Z7	O75928	20624960
Q7Z6Z7	P04637	21233842
Q7Z6Z7	Q92769	22016339
Q7Z6Z7	P16401	22199232
Q7Z6Z7	P06746	22199232
Q7Z6Z7	Q02539	22199232
Q7Z6Z7	Q8IUE6	22199232
Q7Z6Z7	P33778	22199232
Q7Z6Z7	Q96A08	22199232
Q7Z6Z7	Q9UQ80	22199232
Q7Z6Z7	P04198	22199232
Q7Z6Z7	P62805	22199232
Q7Z6Z7	Q16777	22199232
Q7Z6Z7	Q71DI3	22199232
Q7Z6Z7	P12004	22203964
Q7Z6Z7	Q9UGP5	22203964
Q7Z6Z7	P15172	22277673
